Year,author,Working
2013,Александр Кожухарь,Working
2013,Александра Комплеева,Working
2013,Алла Чумаченко,Working
2013,Андрей Малёваный,Working
2013,Анжела Корончук,Working
2013,Ирина Палесика,Working
2013,Степан Бугаёв,Working
2013,Сюзанна Авакян,Working
2014,Александр Кожухарь,Working
2014,Александр Лагутин,Joined
2014,Александра Комплеева,Working
2014,Алла Чумаченко,Left
2014,Андрей Малёваный,Working
2014,Анжела Корончук,Working
2014,Виорика Шпак,Joined
2014,Ирина Палесика,Working
2014,Степан Бугаёв,Working
2014,Сюзанна Авакян,Working
2014,Татьяна Семенюк,Joined
2015,Александр Кожухарь,Working
2015,Александр Лагутин,Working
2015,Александра Комплеева,Left
2015,Андрей Малёваный,Working
2015,Анжела Корончук,Working
2015,Валентина Стасишена,Joined
2015,Виорика Шпак,Left
2015,Ирина Палесика,Working
2015,Никита Кондратов,Joined
2015,Николай Стоянов,Joined
2015,Ольга Гаврилова,Joined
2015,Степан Бугаёв,Working
2015,Сюзанна Авакян,Left
2015,Татьяна Семенюк,Working
2016,Александр Кожухарь,Left
2016,Александр Лагутин,Working
2016,Андрей Малёваный,Working
2016,Анжела Корончук,Working
2016,Валентина Стасишена,Working
2016,Ирина Палесика,Working
2016,Никита Кондратов,Working
2016,Николай Стоянов,Working
2016,Ольга Гаврилова,Working
2016,Ольга Голованова,Joined
2016,Степан Бугаёв,Working
2016,Татьяна Семенюк,Working
2017,Александр Лагутин,Working
2017,Андрей Малёваный,Left
2017,Анжела Корончук,Working
2017,Валентина Стасишена,Working
2017,Виолетта Ганина,Joined
2017,Екатерина Белогривая,Joined
2017,Елена Виговская,Joined
2017,Елена Кругленко,Joined
2017,Ирина Брагина,Joined
2017,Ирина Жекова,Joined
2017,Ирина Палесика,Working
2017,Лидия Салкуцан,Joined
2017,Никита Кондратов,Working
2017,Николай Стоянов,Working
2017,Оксана Ступа,Joined
2017,Ольга Гаврилова,Working
2017,Ольга Голованова,Working
2017,Ольга Горшкова,Joined
2017,Ольга Канцур,Joined
2017,Степан Бугаёв,Left
2017,Сюзанна Авакян,Working
2017,Татьяна Семенюк,Working
2017,Юлия Звягинцева,Joined
